nombre_id,nombre
488,PEDROSILLO DE LOS AIRES   
489,FUENTE EL SOL
490,VILLAFÁFILA
491,BUSTILLO DEL PÁRAMO
492,ZAOREJAS
493,"SANTERVÁS DE LA VEGA, VILLAPÚN "
494,POZUELO DE TABARA
495,BARCO DE AVILA
496,PEDRAZA DE ALBA  
497,CUBILLAS DE RUEDA
498,ALCAÑICES  
499,VILLARINO DE LOS AIRES
500,RUEDA
501,BAÑOBÁREZ
502,RIVILLA DE BARAJAS
503,NAVASFRÍAS
504,MEDINA DE RIOSECO
505,PASTRANA
506,MORALES DEL TORO
507,BARBADILLO
508,FUENTESAUCO
509,PEÑAUSENDE
510,A GUDIÑA
511,OCAÑA
512,VILLALÓN DE CAMPOS
513,"SANABRIA, ROBLEDA-CERVANTES"
514,"BARRIOS DE LUNA, MIÑERA"
515,SANTIBAÑEZ DE VIDRIALES
516,VILLADEPERA
517,ASTORGA
518,BETETA
519,BOADILLA FUENTE SAN ESTEBAN
520,"QUINTANA DEL CASTILLO, VILLAMECA"
521,CORESES
522,VALDEMORILLO
523,BRIHUEGA
524,HOYOS
525,POZUELO DE ALARCÓN
526,SAN SEBASTIÁN DE LOS REYES
527,NAVALVILLAR DE IBOR
528,BROZAS
529,CASTILLO DE BAYUELA
530,"MADRID, EL GOLOSO"
531,TEMBLEQUE
532,ARGANDA DEL REY
533,NAVAHERMOSA
534,ALPEDRETE
535,CEBREROS
536,MORA 
537,TIELMES
538,VALVERDE DEL FRESNO
539,GUIJO DE GRANADILLA
540,CAÑAVERAL
541,PANTANO EL VADO
542,GARGANTA LA OLLA
543,CANDELEDA
544,ALCALA DE HENARES
545,ALISEDA
546,PIORNAL
547,TRUJILLO
548,TORRECILLA DE LOS ANGELES
549,RASCAFRÍA
550,HERVÁS
551,PUERTO DEL PICO
552,SERRADILLA
553,ROZAS DE PUERTO REAL
554,MADRIGAL DE LA VERA
555,ZARZA LA MAYOR
556,OROPESA
557,NUÑOMORAL
558,MANDAYONA
559,MONTEHERMOSO
560,JARAICEJO
561,TORNAVACAS
562,FREGENAL DE LA SIERRA
563,ZORITA
564,ALCAZAR DE SAN JUAN
565,VILLARROBLEDO
566,MONESTERIO
567,BELMONTE
568,ALCUESCAR
569,ALCONCHEL
570,ALCÁZAR DEL REY
571,EL ROBLEDO
572,CASTUERA
573,PUERTO REY 
574,OLIVENZA
575,ZAFRA
576,BADAJOZ
577,VILLANUEVA DE LOS INFANTES
578,ALMADÉN
579,ALMAGRO / FAMET
580,GUADALUPE
581,VILLARES DEL SAZ
582,PERALEDA DEL ZAUCEJO
583,BARCARROTA
584,NAVALVILLAR DE PELA
585,ABENÓJAR
586,ALBURQUERQUE
587,OSSA DE MONTIEL
588,VALSEQUILLO
589,CAÑAMERO
590,VILLAFRANCA DE LOS BARROS
591,AROCHE
592,OSA DE LA VEGA 
593,VILLANUEVA DEL FRESNO
594,ABIA DE OBISPALIA
595,PUEBLA DE OBANDO
596,FUENTE DE CANTOS
597,ALBERCA DE ZANCARA
598,MUNERA
599,ALMENDRALEJO
600,LORA DE ESTEPA
601,CARMONA
602,TORRES
603,"CÓRDOBA, PRÁGDENA"
604,GRANADA-CARTUJA
605,ESPIEL
606,MONTORO
607,LA RAMBLA
608,EL CAMPILLO
609,"ALOSNO, THARSIS"
610,BAEZA
611,VALVERDE DEL CAMINO
612,CARDEÑA
613,VÍZNAR
614,CARTAYA
615,AZUAGA
616,DÓLAR
617,PUERTOLLANO
618,EL GRANADO
619,BENAMEJÍ
620,"CÓRDOBA, EMBALSE DE GUADANUÑO"
621,VÉLEZ BLANCO - TOPARES
622,ALCALÁ LA REAL
623,LINARES
624,CAZORLA
625,BAILÉN
626,FUENTE PALMERA
627,SIERRA NEVADA 'RADIOTELESCOPIO'
628,FUENTES DE ANDALUCÍA
629,PRIEGO DE CÓRDOBA
630,VILLARRASA
631,VILLANUEVA DEL ARZOBISPO
632,LA PUEBLA DE LOS INFANTES
633,EL CERRO DE ANDÉVALO
634,AGUILAR DE LA FRONTERA
635,COÍN
636,CORTES DE LA FRONTERA
637,TORREMOLINOS
638,BENAHAVÍS
639,VÁLOR
640,LANJARÓN
641,ALGARROBO
642,RONDA INSTITUTO
643,MÁLAGA
644,JIMENA DE LA FRONTERA
645,GUADALCANAL
646,LAS CABEZAS DE SAN JUAN
647,"TOMARES, ZAUDÍN"
648,"SEVILLA, TABLADA"
649,NERJA
650,"MOTRIL, PUERTO"
651,ALMONTE
652,OLVERA
653,CHIPIONA
654,SAN ROQUE  
655,ALPANDEIRE
656,ÁLORA
657,CALA
658,RINCÓN DE LA VICTORIA
659,ALMADÉN DE LA PLATA
660,SAN JOSÉ DEL VALLE
661,MANILVA
662,CARRIÓN DE LOS CÉSPEDES
663,BARBATE
664,ANTEQUERA AYUNTAMIENTO (AUTOMÁTICA THIES)
665,MEDINA SIDONIA
666,SALOBREÑA
667,EL BOSQUE
668,CASTELL DE FERRO
669,MARBELLA
670,"MARBELLA, PUERTO"
671,OSUNA
672,MAZARRÓN/LAS TORRES
673,NERPIO
674,CARBONERAS
675,YESTE
676,LÁUJAR DE ANDARAX
677,TORRE-PACHECO
678,FUENTE DE PIEDRA
679,FUENTE ÁLAMO DE MURCIA
680,ALBOX
681,MURCIA AEROPUERTO
682,"YESTE, EMBALSE FUENSANTA"
683,EL EJIDO
684,CABO DE GATA
685,"GARRUCHA, PUERTO"
686,ABANILLA
687,TOTANA
688,CALASPARRA
689,ALHAMA DE MURCIA
690,"CARAVACA DE LA CRUZ, LOS ROYOS"
691,VILLENA
692,ORIHUELA
693,MULA
694,"LORCA, ZARCILLA DE RAMOS"
695,MOLINA DE SEGURA
696,NOVELDA
697,ARCHENA
698,ROJALES
699,FONTANARS DELS ALFORINS
700,MORATALLA
701,PUERTO LUMBRERAS
702,JUMILLA
703,TOBARRA
704,BULLAS
705,ELX/ELCHE
706,BICORP
707,JABALOYAS
708,CARCAIXENT
709,ALBARRACÍN
710,MIRA
711,ADEMUZ
712,TURÍS
713,ALCOI/ALCOY
714,JALANCE
715,CHELVA
716,ONTINYENT
717,PEGO
718,BARX
719,MIRAMAR
720,PANTANO DE LA TOBA (AUTOMATICA)
721,ZARRA
722,BENIDORM
723,SALVACAÑETE
724,ALMANSA
725,MOTILLA DEL PALANCAR
726,ATZENETA DEL MAESTRAT
727,SAGUNT/SAGUNTO
728,VALDEZCARAY
729,ALTO CAMPOO
730,LLÍRIA
731,"VALENCIA, UPV"
732,HARO
733,SANTA GADEA DE ALFOZ
734,CEDRILLAS
735,SARGENTES DE LA LORA
736,"AGURAIN/SALVATIERRA, OPAKUA"
737,TORREBLANCA
738,MOSQUERUELA
739,BRIVIESCA
740,"VALDERREDIBLE, CUBILLO DE EBRO"
741,LA POBLA DE BENIFASSÀ-FREDES
742,MIRANDA DE EBRO
743,MONTANEJOS
744,LALASTRA
745,SEGORBE
746,ISABA/IZABA
747,CENICERO
748,"VALLE DE HECHO, HECHO"
749,OROZ-BETELU/OROTZ-BETELU
750,LOS ARCOS
751,RONCESVALLES/ORREAGA
752,ASTÚN- LA RACA
753,NÁJERA
754,"ESTERIBAR, EMBALSE DE EUGI"
755,OLITE/ERRIBERRI
756,ENCISO
757,CANFRANC
758,"BAILO, PUYALTO"
759,"ANGUIANO, VALVANERA"
760,CAMPEZO/KANPEZU
761,CÁSEDA
762,LEZA
